Category,System,Travel_Ratio_Avg,Travel_Ratio_Var,Site_Service_Ratio_Avg,Site_Service_Ratio_Var,Food_Service_Ratio_Avg,Food_Service_Ratio_Var,Out_of_Service_Count
親子旅遊,VRPTW,1.2444506870415393,0.16135812587384182,1.011213341000575,0.02138544556733354,0.7082629504504505,0.020604040499101264,0.5
親子旅遊,LLM,1.5419704921646817,0.6259111715347951,1.0651361391786924,0.5463912817762797,0.7297766516516516,0.1444605351579499,1.0
文化古蹟,VRPTW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
文化古蹟,LLM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
自然風光,VRPTW,1.2227043789543788,0.11745282100589458,1.0224698102357677,0.036033165189883955,1.060810810810811,0.02866649112918438,0.5
自然風光,LLM,2.855887430729868,3.051467159012418,1.2091077589747803,0.7731435897608323,1.1801801801801801,0.33762756218817136,1.5
冒險體驗,VRPTW,1.2052046542321142,0.2074318795603498,1.0212294159670157,0.03364363943248001,1.0687189593439594,0.013878951100472282,0.2
冒險體驗,LLM,1.7699739673810881,0.7013709759686646,1.0925521230135122,0.41925099557316853,1.2677906271656272,0.15737474857619,1.0
購物旅遊,VRPTW,1.267129524204136,0.2753661751243905,1.0102932719953996,0.021591088575904797,1.036358084611761,0.017530210729627065,0.16666666666666666
購物旅遊,LLM,1.6003666321556635,0.9425594443074083,0.996171924203839,0.46549604157634167,1.0638991650021061,0.17678131261818011,1.0
療癒放鬆,VRPTW,1.2550878279786948,0.2633082303443011,1.0032432432432432,0.007252112359458783,1.0302066772655007,0.019785499759750753,0.2
療癒放鬆,LLM,1.3906093020879067,0.7159700302238464,1.0729163449163448,0.5431665057356448,1.091679915209327,0.3309574505267402,0.4
生態旅遊,VRPTW,1.527616239150792,0.7441269582849507,1.0127659574468084,0.019693515453322846,1.044449784942261,0.04749795679098083,0.4
生態旅遊,LLM,2.3952921615421614,2.6073359526604647,0.8859892849467318,0.3280608060809885,1.1619378612538667,0.332482887444917,0.6
藝術之旅,VRPTW,1.147219125479995,0.09439613984949327,1.009433962264151,0.018867924528301883,1.0256410256410255,0.0,0.0
藝術之旅,LLM,1.5176917989417988,0.7686950476958635,0.9456761006289308,0.5744939842001865,1.5384615384615385,0.0,1.0
